streaming_log,FTW,Mok2011QoE,Liu2012QoE,Xue2014QoE,Yin2015QoE,Spiteri2016QoE,Bentaleb2016QoE,SQI,P1203,VideoATLAS,KSQI
270.csv,4.675,7134.229,9.324,0.327,212.263,2.163,12.278,11.396,0.763,36.257,20.761
271.csv,2.749,5931.689,4.901,0.032,-2158.348,0.904,-87.945,-7.079,1.3,58.852,6.855
272.csv,4.676,7134.229,12.397,0.333,317.38,2.386,18.516,16.798,0.767,35.184,26.968
273.csv,4.668,7134.229,6.328,0.295,60.45,1.915,8.073,8.149,0.797,36.839,17.086
274.csv,2.313,6215.944,-11.154,0.059,-3225.811,-0.746,-86.889,-29.236,1.085,60.738,0.0
275.csv,4.649,7134.229,6.087,0.279,-88.177,1.855,6.529,2.721,0.824,35.111,18.897
276.csv,4.663,7134.229,16.404,0.335,536.495,2.626,27.533,19.114,0.625,34.756,37.985
277.csv,4.687,6849.974,16.236,0.358,684.717,2.751,30.773,26.593,0.537,36.683,36.944
278.csv,4.692,6849.974,22.593,0.369,1046.827,3.053,39.223,34.066,0.48,39.692,44.636
279.csv,4.693,6849.974,22.743,0.393,1144.025,3.092,41.387,36.083,0.398,40.778,46.643
280.csv,4.698,6849.974,28.579,0.358,1479.721,3.312,44.604,38.814,0.244,42.537,49.072
281.csv,3.246,5647.434,13.214,0.23,-433.98,2.279,-16.147,17.933,0.752,58.97,27.114
282.csv,4.705,6849.974,38.733,0.381,2060.46,3.629,52.979,54.04,0.088,47.748,56.334
283.csv,4.706,6849.974,51.0,0.358,2702.911,3.868,55.607,56.5,0.081,49.485,58.642
284.csv,3.185,5647.434,38.073,0.153,1024.22,2.814,-10.131,9.889,0.781,59.451,28.87
285.csv,4.708,6849.974,64.985,0.367,3307.63,4.097,59.733,60.665,0.071,52.528,62.961
286.csv,3.202,6849.974,48.754,0.015,457.21,1.942,-72.159,2.064,1.097,54.345,31.604
287.csv,4.679,7134.229,14.239,0.339,637.67,2.613,28.697,25.352,0.415,35.697,35.896
288.csv,4.674,7134.229,16.5,0.341,649.535,2.715,30.964,27.823,0.462,35.986,39.208
289.csv,4.674,7134.229,35.161,0.336,1081.474,3.075,36.992,33.557,0.47,38.514,45.772
290.csv,4.68,7134.229,25.05,0.361,1156.259,3.131,42.612,37.863,0.323,41.34,49.887
291.csv,4.68,7134.229,26.893,0.347,1277.468,3.19,43.433,38.717,0.248,41.92,50.739
292.csv,4.11,5931.689,26.327,0.311,998.227,3.026,32.483,31.269,0.395,51.38,45.958
293.csv,4.68,7134.229,32.851,0.347,1577.578,3.357,47.012,41.999,0.147,44.337,54.348
294.csv,4.66,7134.229,15.432,0.325,534.426,2.612,28.551,20.295,0.419,34.917,39.052
295.csv,4.187,5931.689,23.855,0.353,1103.029,2.982,40.399,31.143,0.398,51.576,52.172
296.csv,4.673,7134.229,24.681,0.377,1255.852,3.087,43.922,39.391,0.322,42.341,52.172
297.csv,4.673,7134.229,32.65,0.342,1600.943,3.342,47.995,42.928,0.091,45.176,56.292
298.csv,4.672,7134.229,34.399,0.329,1695.035,3.395,48.711,43.614,-0.013,45.787,57.211
299.csv,4.673,7134.229,36.328,0.337,1829.782,3.449,50.245,45.098,-0.022,47.045,58.6
300.csv,4.618,7134.229,17.421,0.274,164.981,2.556,24.612,15.21,0.528,34.22,42.871
301.csv,4.61,7134.229,20.986,0.259,184.127,2.693,27.437,18.25,0.478,36.201,47.011
302.csv,4.614,7134.229,17.317,0.266,275.55,2.486,23.839,14.755,0.528,33.913,42.392
303.csv,3.936,7134.229,23.705,0.213,336.87,2.598,15.559,13.491,0.599,50.519,45.087
304.csv,4.661,7134.229,46.004,0.319,2466.734,3.614,53.965,41.862,-0.216,50.987,64.292
305.csv,4.187,5931.689,45.666,0.313,2425.955,3.586,52.525,41.501,0.063,55.262,64.292
306.csv,3.657,5931.689,45.22,0.263,2111.605,3.452,40.615,27.757,0.261,59.82,52.825
307.csv,2.521,5931.689,43.657,0.151,1474.632,2.857,-0.516,15.401,0.752,60.738,44.886
308.csv,2.555,5931.689,43.58,0.166,1410.807,2.896,1.066,9.877,0.775,60.738,39.24
309.csv,4.189,5931.689,62.252,0.286,3425.788,3.89,55.907,44.3,-0.042,56.279,67.361
310.csv,2.074,5931.689,41.343,0.043,23.087,1.753,-65.191,-14.5,1.086,60.738,11.89
311.csv,2.464,5931.689,40.756,0.095,153.55,1.97,-47.889,-13.901,0.966,60.695,15.441
312.csv,1.898,5931.689,43.439,-0.004,-686.092,1.112,-106.688,-21.068,1.202,60.738,4.716
313.csv,2.07,5931.689,52.739,-0.021,-68.632,1.179,-111.833,-16.577,1.2,60.718,15.507
314.csv,4.651,7134.229,88.528,0.317,5044.807,4.187,65.118,51.704,-0.194,60.711,77.266
315.csv,2.761,5931.689,55.02,0.069,1121.983,2.157,-49.739,-3.257,0.876,60.116,32.907
316.csv,3.721,5931.689,98.128,0.31,5691.603,4.199,62.509,52.734,0.192,60.471,80.073
317.csv,2.39,5931.689,40.228,0.072,-453.678,1.791,-59.546,-12.996,0.96,60.696,14.735
318.csv,2.0,5931.689,51.019,0.045,-81.734,1.64,-79.091,-13.431,1.182,60.738,19.546
319.csv,2.711,5931.689,54.526,0.069,574.654,2.012,-58.811,-3.405,0.984,60.062,32.46
320.csv,3.293,5931.689,100.961,0.296,5511.494,4.157,57.389,52.116,0.368,60.727,81.055
321.csv,4.169,5931.689,-0.631,0.391,-540.745,0.589,-6.415,-6.925,1.059,52.197,7.372
322.csv,4.711,6849.974,10.611,0.602,443.355,2.213,55.205,56.587,0.872,49.457,58.581
323.csv,4.711,6849.974,15.516,0.58,672.599,2.444,57.299,58.644,0.827,50.911,60.688
324.csv,4.675,7134.229,11.254,0.548,251.45,2.364,71.827,64.369,0.658,63.452,80.12
325.csv,4.127,5931.689,16.371,0.464,338.96,2.557,66.117,48.209,0.692,60.488,71.528
326.csv,3.659,5931.689,5.193,0.435,-259.744,1.808,59.818,52.925,0.738,60.522,82.423
327.csv,4.225,5647.434,21.412,0.569,993.463,3.028,88.274,80.99,0.19,61.893,96.21
328.csv,4.707,6849.974,45.352,0.67,2360.127,3.788,93.019,92.198,-0.097,70.731,95.517
329.csv,4.169,5647.434,42.678,0.591,2097.383,3.608,82.03,68.956,0.199,61.855,82.641
330.csv,3.92,5931.689,45.357,0.427,2144.626,3.265,59.114,47.335,0.305,61.459,80.856
331.csv,4.696,6849.974,5.385,0.385,9.749,1.774,17.216,14.467,0.963,37.528,22.669
332.csv,4.71,6849.974,12.735,0.417,423.96,2.435,42.258,44.306,0.793,42.2,45.037
333.csv,4.676,7134.229,4.981,0.353,18.576,1.746,27.125,24.477,0.819,35.335,35.351
334.csv,4.676,7134.229,9.254,0.364,243.312,2.191,44.805,40.334,0.634,43.062,53.214
335.csv,2.38,7134.229,2.195,0.019,-3628.708,-0.056,-119.8,-21.043,1.357,60.106,17.858
336.csv,4.691,6849.974,30.33,0.4,1576.139,3.354,82.761,74.401,-0.021,68.09,88.123
337.csv,4.674,7134.229,26.738,0.348,1388.251,3.167,83.014,73.856,-0.155,68.662,90.983
338.csv,4.209,5931.689,39.916,0.348,1996.655,3.519,84.179,75.54,-0.05,61.66,93.636
339.csv,4.012,7134.229,16.246,0.253,30.576,2.302,48.531,25.647,0.621,58.813,65.502
340.csv,4.67,7134.229,49.881,0.328,2862.864,3.736,87.156,77.371,-0.234,69.816,95.717
341.csv,2.615,5931.689,-7.84,0.276,-1498.35,0.201,-43.522,-4.847,1.06,60.738,5.784
342.csv,4.7,6849.974,6.168,0.586,145.41,1.878,34.413,29.741,0.919,38.702,39.031
343.csv,4.709,6849.974,13.015,0.672,590.203,2.404,48.539,50.069,0.847,45.198,51.845
344.csv,4.693,6849.974,14.049,0.619,463.874,2.384,46.765,41.879,0.936,44.327,52.622
345.csv,4.711,6849.974,14.066,0.689,669.1,2.482,50.982,52.401,0.79,46.667,54.027
346.csv,4.711,6849.974,15.61,0.676,704.843,2.548,51.774,53.215,0.862,47.189,54.862
347.csv,4.709,6849.974,17.443,0.68,734.68,2.602,52.07,53.58,0.87,47.421,55.46
348.csv,4.711,6849.974,19.257,0.669,863.728,2.678,53.591,55.027,0.823,48.39,56.719
349.csv,4.711,6849.974,24.935,0.67,1069.842,2.823,54.535,55.986,0.826,49.046,57.701
350.csv,4.676,7134.229,4.695,0.526,-15.032,1.712,36.537,32.895,0.875,38.248,44.78
351.csv,4.675,7134.229,8.525,0.58,170.199,2.113,48.333,43.684,0.761,45.776,57.003
352.csv,2.625,5931.689,4.103,0.076,-2755.777,0.641,-75.03,-4.08,1.333,59.985,29.818
353.csv,4.676,7134.229,11.266,0.599,272.908,2.331,55.146,49.582,0.728,50.918,63.445
354.csv,4.675,7134.229,6.226,0.533,57.851,1.937,47.891,42.791,0.772,45.028,55.923
355.csv,3.19,5931.689,3.436,0.443,-391.6,1.797,30.17,32.208,0.966,60.697,51.491
356.csv,2.374,6215.944,-10.485,0.165,-2856.212,-0.521,-62.396,-23.287,1.075,60.738,0.0
357.csv,4.177,5931.689,5.526,0.502,-88.788,1.847,44.508,35.442,0.827,53.021,57.402
358.csv,4.672,7134.229,17.53,0.648,588.648,2.75,67.331,60.268,0.555,60.632,76.071
359.csv,4.693,6849.974,16.942,0.671,654.308,2.82,70.483,63.05,0.517,61.107,75.548
360.csv,4.209,5647.434,20.606,0.699,900.759,2.997,71.309,66.982,0.46,60.172,80.893
361.csv,4.245,5647.434,23.022,0.708,1013.893,3.117,75.666,68.799,0.514,60.396,81.728
362.csv,4.233,5647.434,30.364,0.673,1417.603,3.362,78.039,79.816,0.28,60.999,85.467
363.csv,3.156,5647.434,15.594,0.365,-471.679,2.242,12.31,30.612,0.803,60.517,56.133
364.csv,3.663,5647.434,41.753,0.581,1625.791,3.473,65.976,59.94,0.465,60.672,75.492
365.csv,2.926,5647.434,38.804,0.397,1096.136,2.989,33.53,29.83,0.763,60.733,57.633
366.csv,3.823,5647.434,51.6,0.658,2480.59,3.81,79.907,83.441,0.388,60.704,89.349
367.csv,4.708,6849.974,64.583,0.741,3344.296,4.071,87.646,87.329,0.084,69.272,90.237
368.csv,2.773,5647.434,47.835,0.156,378.353,2.198,-28.729,13.844,1.057,60.646,56.872
369.csv,4.687,6849.974,13.769,0.669,588.617,2.635,69.128,61.582,0.387,60.476,74.998
370.csv,4.681,7134.229,15.573,0.668,580.32,2.725,69.944,62.405,0.404,61.581,76.933
371.csv,4.681,7134.229,30.784,0.678,932.393,3.074,72.381,64.762,0.441,63.294,79.545
372.csv,4.687,6849.974,23.701,0.709,1039.92,3.133,77.991,69.779,0.3,66.026,83.947
373.csv,4.687,6849.974,25.449,0.695,1256.343,3.172,79.179,70.932,0.209,66.66,85.206
374.csv,4.085,5931.689,23.626,0.593,879.681,2.946,63.514,52.276,0.384,60.668,74.191
375.csv,4.687,6849.974,35.049,0.689,1656.245,3.438,81.407,72.963,0.111,67.678,87.423
376.csv,4.169,5931.689,22.031,0.659,910.392,2.953,71.411,66.119,0.374,60.602,84.91
377.csv,4.676,7134.229,23.417,0.708,1090.191,3.077,77.297,68.827,0.292,66.185,84.91
378.csv,4.676,7134.229,32.617,0.663,1528.192,3.387,81.706,72.907,-0.029,68.195,89.484
379.csv,4.212,5931.689,34.002,0.659,1732.176,3.389,80.554,72.737,0.089,61.369,89.896
380.csv,4.212,5931.689,40.146,0.661,1817.606,3.557,82.084,73.997,0.083,61.504,91.32
381.csv,4.051,5931.689,14.677,0.527,231.441,2.471,53.699,36.66,0.52,59.271,66.536
382.csv,3.362,5931.689,14.649,0.426,-115.453,2.327,34.348,23.564,0.693,60.536,57.869
383.csv,3.923,7134.229,19.748,0.456,92.269,2.545,45.268,38.0,0.639,60.178,72.179
384.csv,3.391,5931.689,14.861,0.428,-218.317,2.374,35.892,36.304,0.648,60.512,69.15
385.csv,4.666,7134.229,44.21,0.644,2438.261,3.597,83.543,74.144,-0.226,69.013,93.035
386.csv,4.666,7134.229,44.21,0.644,2438.261,3.597,83.543,74.144,-0.226,69.013,93.035
387.csv,2.713,5931.689,43.536,0.418,1566.306,3.126,46.612,48.598,0.605,60.738,80.645
388.csv,2.931,5931.689,44.199,0.388,1533.055,3.045,39.632,33.292,0.578,60.735,68.368
389.csv,2.529,5931.689,43.697,0.334,1326.101,2.888,28.654,31.826,0.724,60.738,67.698
390.csv,3.746,5931.689,58.505,0.582,3022.5,3.819,79.777,74.066,0.124,60.727,95.101
391.csv,2.185,5931.689,40.602,0.183,400.888,2.088,-16.983,-0.131,0.985,60.738,44.919
392.csv,2.136,5931.689,40.917,0.159,50.626,1.93,-26.281,-0.598,1.036,60.738,44.88
393.csv,1.976,5931.689,41.27,0.07,-483.233,1.456,-58.818,-14.877,1.132,60.738,28.339
394.csv,2.156,5931.689,50.419,0.049,-45.193,1.506,-67.606,-13.425,1.125,60.736,33.232
395.csv,4.661,7134.229,82.643,0.665,4526.088,4.194,87.339,70.374,-0.251,69.816,97.548
396.csv,2.288,5931.689,40.409,0.249,72.798,2.258,-3.539,-0.393,0.979,60.738,41.919
397.csv,2.353,5931.689,50.709,0.145,144.453,1.972,-33.405,5.6,1.033,60.735,59.031
398.csv,2.019,5931.689,50.984,0.092,-79.966,1.746,-48.922,-15.18,1.109,60.738,34.056
399.csv,1.889,5931.689,51.695,0.008,-618.423,1.268,-81.959,-17.791,1.192,60.738,30.873
400.csv,3.715,5931.689,94.328,0.642,5028.32,4.218,80.53,68.619,0.128,60.731,98.362
401.csv,2.773,5931.689,-5.636,0.384,-1161.866,0.343,-17.657,2.292,1.069,60.737,18.947
402.csv,4.699,6849.974,6.56,0.687,204.246,1.877,49.033,43.497,0.842,45.541,53.874
403.csv,4.675,7134.229,8.539,0.685,171.631,2.128,63.467,57.071,0.642,57.726,72.163
404.csv,4.706,6849.974,48.605,0.808,2485.194,3.825,90.794,90.079,-0.087,70.229,93.457
405.csv,4.708,6849.974,69.298,0.856,3618.456,4.153,91.492,90.869,-0.11,70.368,93.895
406.csv,2.575,5647.434,48.056,0.073,78.406,1.718,-56.563,-1.623,1.118,60.676,43.961
407.csv,4.059,5931.689,16.813,0.618,449.135,2.578,65.211,43.578,0.412,61.097,76.494
408.csv,3.491,5931.689,20.742,0.526,349.371,2.573,56.63,43.114,0.547,60.696,80.706
409.csv,2.402,5931.689,43.791,0.326,1124.551,2.688,17.579,13.333,0.807,60.738,53.46
410.csv,2.782,5931.689,49.408,0.189,666.621,2.22,-21.314,17.871,0.924,60.689,65.804
411.csv,3.215,5931.689,-3.626,0.275,-850.871,0.499,-22.465,-6.648,1.076,60.689,7.327
412.csv,4.7,6849.974,5.597,0.42,65.982,1.782,31.514,27.283,0.89,38.126,35.995
413.csv,4.714,6849.974,13.733,0.452,348.582,2.425,50.23,51.913,0.772,46.418,52.426
414.csv,4.675,7134.229,5.518,0.375,40.877,1.826,50.652,45.28,0.752,47.129,58.689
415.csv,4.181,5931.689,6.669,0.366,-27.319,1.927,52.224,41.085,0.775,55.185,64.485
416.csv,4.201,5931.689,22.959,0.407,958.822,2.963,78.337,63.119,0.336,61.168,88.742
417.csv,3.303,5931.689,18.489,0.234,45.066,2.353,37.518,26.149,0.59,60.681,66.865
418.csv,2.538,5931.689,42.664,0.194,1561.346,2.897,32.045,27.132,0.735,60.738,65.077
419.csv,2.55,5931.689,43.807,0.206,1444.376,2.944,33.43,13.465,0.715,60.738,52.373
420.csv,4.67,7134.229,60.567,0.378,3409.903,3.93,88.016,78.176,-0.245,69.991,96.632
421.csv,4.652,7134.229,5.304,0.517,-127.323,1.777,46.841,36.523,0.803,46.154,58.885
422.csv,4.154,5931.689,25.139,0.64,962.001,3.039,70.256,67.17,0.365,60.734,85.579
423.csv,3.573,6849.974,38.274,0.283,839.321,2.621,8.483,28.745,0.75,60.736,64.424
424.csv,4.666,7134.229,21.586,0.695,993.002,2.935,75.847,67.542,0.301,66.101,85.442
425.csv,3.329,5931.689,15.144,0.405,-217.098,2.299,33.506,25.122,0.644,60.596,60.183
426.csv,4.67,7134.229,57.922,0.624,3154.503,3.892,86.445,76.816,-0.242,69.687,95.148
427.csv,2.328,5931.689,44.197,0.239,1220.262,2.562,5.549,18.044,0.893,60.738,59.888
428.csv,4.658,7134.229,82.851,0.638,4723.593,4.162,86.591,69.683,-0.233,69.673,97.323
429.csv,4.658,7134.229,94.704,0.648,5422.385,4.284,86.856,69.91,-0.243,69.713,97.589
430.csv,2.561,5931.689,39.223,0.241,48.18,2.202,-2.571,11.398,0.86,60.735,56.501
431.csv,3.018,5931.689,-6.492,0.265,-1232.609,0.321,-30.432,-1.97,1.081,60.673,12.236
432.csv,2.842,5647.434,5.61,0.104,-1676.137,1.161,-34.658,5.805,1.209,60.255,45.259
433.csv,3.878,7134.229,12.177,0.307,-131.272,2.212,38.179,36.831,0.839,59.863,66.367
434.csv,4.694,6849.974,12.72,0.492,501.849,2.608,74.482,66.534,0.399,63.44,79.014
435.csv,3.196,5647.434,14.65,0.288,-416.064,2.261,21.259,32.079,0.705,60.617,59.15
436.csv,2.721,5647.434,41.336,0.213,821.646,2.744,15.704,23.12,0.822,60.735,56.858
437.csv,3.242,5931.689,42.667,0.374,1938.166,3.405,66.923,54.26,0.383,60.736,81.525
438.csv,2.324,5931.689,39.899,0.191,579.154,2.401,3.502,5.381,0.909,60.738,49.19
439.csv,2.152,5931.689,40.405,0.121,308.775,2.043,-21.669,-11.042,1.004,60.738,32.889
440.csv,3.313,7134.229,57.172,0.106,1475.839,2.314,-22.407,12.152,0.834,60.8,62.677
441.csv,4.688,6849.974,11.919,0.399,112.736,2.315,33.696,30.191,0.853,37.792,40.18
442.csv,4.711,6849.974,15.495,0.457,607.881,2.58,43.276,44.771,0.833,42.477,46.273
443.csv,4.675,7134.229,9.124,0.393,216.444,2.2,37.617,34.067,0.656,38.837,46.421
444.csv,2.629,5931.689,3.94,0.041,-2548.592,0.709,-80.406,-3.56,1.305,59.717,28.95
445.csv,2.668,6215.944,-10.21,0.071,-2976.922,-0.599,-70.457,-28.949,1.071,60.682,0.0
446.csv,4.105,5931.689,3.903,0.297,-297.249,1.681,21.296,21.153,0.861,48.58,41.797
447.csv,4.225,5647.434,22.741,0.481,982.122,3.088,65.188,60.112,0.519,58.518,73.428
448.csv,4.676,7134.229,15.105,0.451,557.998,2.682,56.916,51.015,0.435,52.198,64.776
449.csv,1.924,5931.689,42.256,0.02,-810.171,1.208,-75.495,-17.568,1.176,60.738,21.237
450.csv,4.157,5931.689,83.966,0.439,4582.441,4.11,81.145,66.597,-0.013,61.62,95.921
